serial,Sightingno,Leadership_No,IndividualID,Order_initiation,Date,Time,Lead_activity,Clock,Distance_moved,Delay,Car_Bearing,Cause,Leadership_Remarks,End_Activity,Lead_type,Initial_Travel_Order,Final_Order,Success,Harem_ct,Ageclass,status,Grass_Height,Grass_Color,Bush_Type,gps_x,gps_y,Harem_size,Activity_Type_3,Activity_Type_2,Sighting_Duration,Sex
1,hl1,1,01_522,1,6/28/05,8:25,Walking,0,20,0,0,Graze,,Grazing,Pull,0,0,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
2,hl1,2,01_522,1,6/28/05,8:26,Walking,0,0,0,0,,,,Pull,1,1,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
3,hl1,3,01_327,1,6/28/05,8:45,Walking,0,12,0,0,,,,Pull,1,1,Yes,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
4,hl1,3,02_1138,2,6/28/05,8:45,Walking,0,12,30,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
5,hl1,3,01_069,3,6/28/05,8:45,Walking,0,12,30,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
6,hl1,3,01_147,4,6/28/05,8:45,Walking,0,0,80,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
7,hl1,3,01_522,5,6/28/05,8:45,Walking,0,0,80,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
8,hl1,4,01_327,1,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,1,1,Partial,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
9,hl1,4,02_1138,2,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
10,hl1,4,01_069,3,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
11,hl1,5,01_327,1,6/28/05,8:49,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
12,hl1,5,01_069,2,6/28/05,8:49,Walking,0,10,5,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
13,hl1,5,01_522,3,6/28/05,8:49,Walking,0,0,20,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
14,hl1,5,02_1138,4,6/28/05,8:49,Walking,0,0,90,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
15,hl1,5,01_147,5,6/28/05,8:49,Walking,0,0,90,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
16,hl1,6,01_147,1,6/28/05,9:44,Walking,0,8,0,0,,,,Pull,1,1,Partial,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
17,hl1,6,01_069,2,6/28/05,9:44,Walking,0,8,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
18,hl1,6,02_1138,3,6/28/05,9:44,Walking,0,8,30,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
19,hl1,7,01_069,1,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
20,hl1,7,01_147,2,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
21,hl1,7,02_1138,3,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
22,hl1,7,01_327,4,6/28/05,10:06,Walking,0,0,25,0,,,,Pull,4,4,,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
23,hl1,7,01_522,5,6/28/05,10:06,Walking,0,0,30,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
24,hl1,8,01_069,1,6/28/05,10:06,Stopping,0,0,0,0,,,,Pull,1,1,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Stopping,Non-Movement,2.12,F
25,hl1,9,01_522,1,6/28/05,10:32,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
26,hl1,9,01_069,2,6/28/05,10:32,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
27,hl1,9,01_147,3,6/28/05,10:32,Walking,0,0,20,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
28,hl1,9,02_1138,4,6/28/05,10:32,Walking,0,0,80,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
29,hl2,1,01_106,1,7/3/05,8:54,Walking,0,26,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
30,hl2,1,02_988,2,7/3/05,8:54,Walking,0,0,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
31,hl2,1,01_045,3,7/3/05,8:54,Walking,0,0,0,0,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
32,hl2,2,01_629,1,7/3/05,8:55,Walking,0,0,0,0,,,,Push,2,2,Partial,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
33,hl2,2,01_106,2,7/3/05,8:55,Walking,0,0,0,0,,,,Push,1,1,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
34,hl2,3,02_988,1,7/3/05,8:57,Walking,0,0,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
35,hl2,4,02_988,1,7/3/05,9:00,Walking,0,0,0,0,Move closer to stallion,,Socializing,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
36,hl2,5,02_988,1,7/3/05,9:09,Walking,0,5,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
37,hl2,6,01_106,0,7/3/05,9:10,Walking,0,5,0,0,Move closer to the others,,,,1,1,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
38,hl2,7,01_045,1,7/3/05,9:31,Walking,0,0,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
39,hl2,7,02_988,2,7/3/05,9:31,Walking,0,2,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
40,hl2,7,01_106,3,7/3/05,9:31,Walking,0,5,10,0,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
41,hl2,8,02_988,1,7/3/05,9:43,Walking,3,7,0,320,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
42,hl2,8,01_106,2,7/3/05,9:43,Walking,3,7,0,320,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
43,hl2,9,01_045,1,7/3/05,9:44,Walking,0,0,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
44,hl2,9,02_988,2,7/3/05,9:44,Walking,0,0,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
45,hl2,10,01_045,1,7/3/05,9:47,Walking,0,5,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
46,hl2,11,01_106,1,7/3/05,9:48,Walking,0,20,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
47,hl2,11,02_988,2,7/3/05,9:49,Walking,0,0,60,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
48,hl2,11,01_045,3,7/3/05,9:50,Walking,0,0,120,0,Move closer to the other females,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
49,hl2,12,01_045,1,7/3/05,9:51,Walking,0,0,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
50,hl2,13,01_106,1,7/3/05,9:54,Walking,0,0,0,0,Move closer to 01_045,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
51,hl2,14,01_045,1,7/3/05,9:57,Walking,12,10,0,320,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
52,hl2,14,02_988,2,7/3/05,9:57,Walking,12,10,0,320,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
53,hl2,15,01_629,1,7/3/05,9:59,Walking,0,0,0,0,Move closer to 01_045,,,Pull,1,1,Partial,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
54,hl2,15,01_106,2,7/3/05,9:59,Walking,0,10,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
55,hl2,16,01_045,1,7/3/05,10:00,Walking,12,0,0,320,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
56,hl2,17,01_629,0,7/3/05,10:00,Walking,0,0,0,0,Move closer to his females,,,,1,1,,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
57,hl2,18,01_045,1,7/3/05,10:01,Walking,10,45,0,320,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
58,hl2,19,02_988,1,7/3/05,10:02,Walking,0,10,0,0,Move closer to 01_045,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
59,hl2,20,02_988,1,7/3/05,10:04,Walking,0,0,0,0,Move closer to 01_106,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
60,hl2,21,02_988,1,7/3/05,10:04,Walking,0,5,0,0,Move closer to 01_045,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
61,hl2,22,01_106,1,7/3/05,10:06,Walking,0,0,0,0,Move closer to 02_988,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
62,hl2,23,01_045,1,7/3/05,10:08,Walking,9,0,0,310,,,Vigilant,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
63,hl2,24,01_045,1,7/3/05,10:10,Walking,0,5,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
64,hl2,25,01_629,0,7/3/05,10:10,Walking,9,50,0,310,Move closer to his females,,Grooming,,1,1,,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
65,hl2,26,01_106,1,7/3/05,10:12,Walking,0,4,0,0,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
66,hl2,27,01_045,1,7/3/05,10:20,Walking,2,50,0,310,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
67,hl2,27,02_988,2,7/3/05,10:21,Walking,0,0,60,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
68,hl2,28,01_045,0,7/3/05,10:21,Walking,12,0,0,310,,,,,0,0,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
69,hl2,28,02_988,0,7/3/05,10:21,Walking,12,0,0,310,,,,,0,0,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
70,hl2,29,01_106,1,7/3/05,10:23,Walking,0,0,0,0,Move closer to the other females,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
71,hl2,30,01_629,0,7/3/05,10:25,Walking,0,0,0,0,Move closer to his females,,,,1,1,,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
72,hl2,31,01_045,1,7/3/05,10:25,Walking,12,10,0,310,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
73,hl2,31,02_988,2,7/3/05,10:25,Walking,12,0,0,310,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
74,hl2,31,01_106,3,7/3/05,10:25,Walking,12,0,20,310,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
75,hl2,32,01_629,0,7/3/05,10:27,Walking,0,0,0,0,Move closer to his females,,,,1,1,,4,Adult,Stallion,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,M
76,hl2,33,01_045,1,7/3/05,10:30,Walking,0,0,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
77,hl2,33,01_106,2,7/3/05,10:30,Walking,0,0,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
78,hl2,33,02_988,3,7/3/05,10:30,Walking,0,0,0,0,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
79,hl2,34,01_045,1,7/3/05,10:31,Walking,4,10,0,230,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
80,hl2,35,01_045,1,7/3/05,10:36,Walking,12,8,0,230,,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
81,hl2,36,02_988,1,7/3/05,10:41,Walking,0,10,0,0,Move closer to 01_045,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
82,hl2,37,01_106,1,7/3/05,10:42,Walking,11,10,0,230,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
83,hl2,37,02_988,2,7/3/05,10:42,Walking,11,5,0,230,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
84,hl2,38,01_045,1,7/3/05,10:44,Walking,9,10,0,230,Move closer to 01_106,,,Pull,1,1,No,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
85,hl2,39,01_106,1,7/3/05,10:46,Walking,10,10,0,230,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
86,hl2,39,02_988,2,7/3/05,10:47,Walking,10,0,0,230,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
87,hl2,40,02_988,1,7/3/05,10:48,Walking,9,10,0,230,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
88,hl2,40,01_106,2,7/3/05,10:48,Walking,9,5,0,230,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
89,hl2,40,01_045,3,7/3/05,10:49,Walking,9,6,0,230,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
90,hl3,1,01_744,1,6/28/05,18:14,Walking,0,40,0,0,,,Grazing,Pull,1,1,Yes,0,Adult,Stallion,,BG,TB,269162,4513,5,Movement,Movement,0.08,M
91,hl3,1,01_777,2,6/28/05,18:14,Walking,0,10,4,0,,,,Pull,2,2,,0,two year old,,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
92,hl3,1,01_512,3,6/28/05,18:14,Walking,0,0,4,0,,,,Pull,3,3,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
93,hl3,1,01_763,4,6/28/05,18:14,Walking,0,0,34,0,,,,Pull,4,4,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
94,hl3,1,01_762,5,6/28/05,18:14,Walking,0,0,44,0,,trotting,,Pull,5,5,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
95,hl3,2,01_744,1,6/28/05,18:19,Walking,0,0,0,0,,,,Pull,1,1,No,0,Adult,Stallion,,BG,TB,269162,4513,5,Movement,Movement,0.08,M
96,hl3,3,01_777,1,6/28/05,18:20,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,two year old,,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
97,hl3,3,01_763,2,6/28/05,18:20,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
98,hl3,3,01_512,3,6/28/05,18:20,Walking,0,0,0,0,,,,Pull,3,3,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
99,hl3,3,01_762,4,6/28/05,18:20,Walking,0,0,0,0,,,,Pull,4,4,,0,Adult,Non-lactating,,BG,TB,269162,4513,5,Movement,Movement,0.08,F
100,hl3,3,01_744,5,6/28/05,18:20,Walking,0,0,51,0,,,,Pull,5,5,,0,Adult,Stallion,,BG,TB,269162,4513,5,Movement,Movement,0.08,M
101,hl4,1,01_312,1,7/5/05,9:38,Walking,12,10,0,345,,,Grazing,Pull,1,1,No,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
102,hl4,2,01_312,1,7/5/05,9:39,Walking,12,30,0,345,,,Grazing,Pull,1,1,Partial,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
103,hl4,2,04_155,2,7/5/05,9:39,Walking,12,60,10,345,,,,Pull,2,2,,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
104,hl4,3,01_312,1,7/5/05,9:39,Stopping,0,0,0,0,,,,,0,0,No,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
105,hl4,4,01_312,1,7/5/05,9:40,Walking,12,0,0,345,,,Standing,Pull,1,1,Partial,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
106,hl4,4,01_314,2,7/5/05,9:40,Walking,12,5,0,345,,,Grazing,Pull,2,2,,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
107,hl4,5,04_155,1,7/5/05,9:42,Walking,12,110,0,345,Move closer to 01_312,,,Pull,1,1,Partial,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
108,hl4,5,01_313,2,7/5/05,9:42,Walking,12,5,0,345,,,Grazing,Pull,2,2,,2,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
109,hl4,6,01_314,0,7/5/05,9:56,Walking,10,10,0,345,Move closer to 01_313,,,Pull,1,1,,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
110,hl4,7,01_312,1,7/5/05,9:57,Walking,12,10,0,345,,,Standing,Pull,1,1,No,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
111,hl4,8,01_312,1,7/5/05,9:59,Walking,2,10,0,345,,,,Pull,1,1,Partial,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
112,hl4,8,01_313,2,7/5/05,9:59,Walking,0,2,0,0,,,,Pull,2,2,,2,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
113,hl4,9,04_155,1,7/5/05,10:00,Walking,12,50,0,345,,,,Pull,1,1,Partial,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
114,hl4,9,01_314,2,7/5/05,10:02,Walking,12,30,0,345,,,Grazing,Pull,2,2,,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
115,hl4,9,01_313,3,7/5/05,10:02,Walking,12,50,0,345,,,,Pull,3,3,,2,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
116,hl4,10,01_313,1,7/5/05,10:03,Walking,12,0,0,345,,,,Pull,1,1,Partial,2,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
117,hl4,10,01_314,2,7/5/05,10:03,Walking,12,20,0,345,,,,Pull,2,2,,2,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
118,hl4,11,04_155,1,7/5/05,10:10,Walking,0,15,0,0,,Far from each other,,Pull,1,1,Partial,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
119,hl4,11,01_313,2,7/5/05,10:10,Walking,0,2,0,0,,,,Pull,2,2,,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
120,hl4,12,01_312,1,7/5/05,10:11,Walking,12,5,0,335,,,,Pull,1,1,Partial,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
121,hl4,12,01_313,2,7/5/05,10:11,Walking,12,0,0,335,,,,Pull,2,2,,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
122,hl4,13,01_313,1,7/5/05,10:11,Walking,12,0,0,335,,,,Pull,1,4,Yes,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
123,hl4,13,01_314,2,7/5/05,10:11,Walking,12,0,0,335,,,,Pull,4,3,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
124,hl4,13,01_312,3,7/5/05,10:11,Walking,12,0,0,335,,,,Pull,2,1,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
125,hl4,13,04_155,4,7/5/05,10:11,Walking,12,0,0,335,,,,Pull,3,2,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
126,hl4,14,01_312,1,7/5/05,10:18,Walking,12,0,0,335,,,,Pull,1,2,Yes,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
127,hl4,14,01_314,2,7/5/05,10:18,Walking,12,0,0,335,,,,Pull,2,1,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
128,hl4,14,01_313,3,7/5/05,10:18,Walking,12,0,0,335,,,,Pull,4,4,,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
129,hl4,14,04_155,4,7/5/05,10:18,Walking,12,0,0,335,,,,Pull,3,3,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
130,hl4,15,01_314,1,7/5/05,10:27,Stopping,0,0,0,0,,,,,0,0,Yes,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
131,hl4,15,01_312,2,7/5/05,10:27,Stopping,0,0,0,0,,,,,0,0,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
132,hl4,15,04_155,2,7/5/05,10:27,Stopping,0,0,0,0,,,,,0,0,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
133,hl4,15,01_313,2,7/5/05,10:27,Stopping,0,0,0,0,,,,,0,0,,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,M
134,hl4,16,01_314,1,7/5/05,10:27,Walking,12,0,0,280,,,Grazing,Pull,1,1,Yes,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
135,hl4,16,01_312,2,7/5/05,10:27,Walking,12,0,0,280,,,Standing,Pull,2,2,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
136,hl4,16,04_155,3,7/5/05,10:27,Walking,12,0,0,280,,,Standing,Pull,3,3,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
137,hl4,16,01_313,4,7/5/05,10:27,Walking,11,0,10,280,,,,Pull,4,4,,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
138,hl4,17,01_314,1,7/5/05,10:29,Stopping,0,0,0,0,,,,,0,0,Partial,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
139,hl4,17,01_312,2,7/5/05,10:29,Stopping,0,0,0,0,,,,,0,0,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
140,hl4,17,04_155,3,7/5/05,10:29,Stopping,0,0,0,0,,,,,0,0,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Stopping,Non-Movement,2.07,F
141,hl4,18,01_313,1,7/5/05,10:29,Walking,12,150,0,280,Move closer to water,,,Pull,1,1,Yes,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
142,hl4,18,01_312,2,7/5/05,10:29,Walking,12,150,0,280,Move closer to water,,,Pull,2,2,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
143,hl4,18,01_314,3,7/5/05,10:29,Walking,12,150,0,280,Move closer to water,,,Pull,3,3,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
144,hl4,18,04_155,4,7/5/05,10:29,Walking,12,150,0,280,Move closer to water,,,Pull,4,4,,1,Adult,Non-lactating,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,F
145,hl4,19,01_313,1,7/5/05,10:34,Walking,12,0,0,280,Move closer to water,,Vigilant,Pull,1,1,Yes,1,Adult,Stallion,less hk,BG,OG,274390,2574,4,Movement,Movement,2.07,M
